Galatasaray S.K. (football) | https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Galatasaray_S.K._Logo_2026_5-stars.svg/330px-Galatasaray_S.K._Logo_2026_5-stars.svg.png
Fenerbahce S.K. (football) | NOT_FOUND
Besiktas J.K. | https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/BesiktasJK-Logo.svg/330px-BesiktasJK-Logo.svg.png
Trabzonspor | NOT_FOUND
Istanbul Basaksehir F.K. | NOT_FOUND
Kasimpasa S.K. | NOT_FOUND
Eyupspor | https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Ey%C3%BCpspor_Logosu.png/330px-Ey%C3%BCpspor_Logosu.png
Goztepe S.K. | NOT_FOUND
Samsunspor | NOT_FOUND
Caykur Rizespor | NOT_FOUND
Konyaspor | ERROR
Gaziantep F.K. | ERROR
Alanyaspor | ERROR
Genclerbirligi S.K. | ERROR
Erzurumspor F.K. | ERROR
Amed S.K. | ERROR
Corum F.K. | ERROR
